Criteria	CritShortName	Sequence	RowTitle	Level 1	Level 2	Level 3	Level 4
Creating a school culture that promotes the ongoing improvement of learning and teaching for students and staff.	C1	1	1.1  Develops and sustains focus on a shared mission and clear vision for improvement of learning and teaching	"Does not communicate mission, vision, and core values; tolerates behaviors and school activities in opposition to a culture of ongoing improvement"	"Vision and mission are   developing; connections between school activities, behaviors and the vision are made explicit; vision and mission are shared and supported by stakeholders"	Communicates a vision of ongoing improvement in teaching and learning such that staff and students perceive and agree upon what the school is working to achieve; encourages and supports behaviors and school activities that explicitly align with vision; shares enthusiasm and optimism that the vision will be realized; regularly communicates a strong commitment  to the mission and vision of the school and holds stakeholders accountable for implementation	"Is proficient AND provides leadership and support such that shared vision and goals are at the forefront of attention for  students and staff and at the center of their  work; communicates mission, vision, and core values to community stakeholders such that the wider community knows, understands and supports the vision of the changing world in the 21st Century that schools are preparing children to enter and succeed"
Creating a school culture that promotes the ongoing improvement of learning and teaching for students and staff.	C1	2	1.2  Engages in essential conversations for ongoing improvement	"Avoids conversations; does not make time for conversations; is not available to staff, students, other stakeholders, does not communicate high expectations and high standards for staff and students regarding ongoing improvement"	Communication reflects essential issues with  members of the school community; supports a feedback loop that reaches  students and staff; barriers to improvement are  identified and addressed; conversations are mostly   data-driven for the purposes of assessing improvement with infrequent high expectations for  students	"Assumes responsibility for accurate communication and productive flow of ideas among staff, students and stakeholders;  provides leadership such that the essential conversations take place and in ways that maintain trust, dignity, and ensure accountability of participants; creates and sustains productive feedback loops that include staff members and students; keeps the dialogue ongoing and purposeful; regularly communicates high expectations and standards for staff and students regarding ongoing improvement"	Is proficient AND establishes and promotes successful systems and methods for communication that extend beyond the school  community; creates a productive feedback loop among  stakeholders that keeps the dialogue ongoing and purposeful;  methods are recognized and adopted for purposes beyond school; staff report confidence in their ability to engage in essential conversations for ongoing improvement; consistently communicates high expectations and standards for staff and students regarding ongoing improvement
Creating a school culture that promotes the ongoing improvement of learning and teaching for students and staff.	C1	3	1.3  Facilitates collaborative processes leading toward continuous improvement	Does not actively support or facilitate collaboration among staff; tolerates behaviors that impede collaboration among staff; fosters a climate of competition and supports unhealthy interactions among staff	Demonstrates some understanding of the value of collaboration and what it takes to support it (i.e. building trust); facilitates collaboration among staff for certain purposes; emerging  consensus-building and negotiation skills	"Actively models, supports, and facilitates collaborative processes among staff utilizing diversity of skills, perspectives and knowledge in the group; assumes responsibility for monitoring group dynamics and for promoting an open and constructive atmosphere for group discussions; creates opportunities for staff to initiate collaborative processes across grade levels and subject areas that support ongoing improvement of teaching and learning"	Is proficient AND successfully creates generative systems that build the capacity of  stakeholders to collaborate across grade levels and subject areas; is recognized by school community and other stakeholders for leadership that results in a high degree of meaningful collaboration  
Creating a school culture that promotes the ongoing improvement of learning and teaching for students and staff.	C1	4	1.4  Creates opportunities for shared leadership	"Offers no model or opportunity for shared leadership (ie. delegation, internship, etc.); makes decisions unilaterally"	"Offers opportunities for staff and students to be in leadership roles;  engages processes for shared decision-making; uses  strategies to develop the capacity for shared leadership (ie. delegation, internship, etc.)"	"Provides continual opportunity and invitation for staff to develop leadership qualities; consistently engages processes that support high participation in decision-making; assesses, analyzes and anticipates emerging trends and initiatives in order to adapt shared leadership opportunities"	Is proficient AND proactively cultivates leadership qualities in others; builds a sense of efficacy and empowerment among staff and students that results in increased capacity to accomplish substantial outcomes; involves staff in leadership roles that foster career development; expands opportunities for community stakeholders to engage  in shared leadership 
Providing for school safety.	C2	1	2.1 Provides for Physical Safety	Neglects to consider the physical safety of students and staff; does not maintain and/or implement a current school safety plan; plan in place is insufficient to ensure physical safety of students and staff; major safety and health concerns	"Maintains and implements a school safety plan  monitored on a regular basis;  minor safety and sanitary concerns in school plant or equipment; problems  are confronted  and resolved in a timely manner; eager to improve  knowledge about school security and issues relating to school facilities; an emergency operations plan is reviewed by appropriate external officials and posted in classrooms, meeting areas and office settings"	"Implements a school safety plan that is based upon open communication systems and is effective and responsive to new threats and changing circumstances; proactively monitors and adjusts the plan in consultation with staff, students, and outside experts/consultants; staff proficiency in safety procedures as measured and monitored by group assessments followed by group reflection"	"Is proficient AND serves as a resource for others in leadership roles beyond school who are developing and implementing comprehensive physical safety systems to include prevention, intervention, crisis response and recovery"
Providing for school safety.	C2	2	"2.2 Provides for social,  emotional and intellectual safety"	"Neglects the social, emotional or intellectual safety of students and staff; does not have an anti-bullying policy or behavior plan in place that promotes emotional safety; does not model an appreciation for diversity of ideas and opinions"	Strives to provide appropriate emotional support to staff and students; policies clearly define acceptable behavior; demonstrates acceptance for diversity of ideas and opinions; anti-bullying prevention program in place.	"Assumes responsibility for the social, emotional and intellectual safety of all staff and students; supports the development, implementation, and monitoring of plans, systems, curricula, and programs that provide resources to support social, emotional and intellectual safety;  reinforces protective factors that reduce risk for all students and staff"	"Is proficient AND makes emotional and intellectual safety a top priority for  staff and students; ensures a school culture in which  students and staff are acknowledged and connected; advocates for  students to be a part of and responsible for their school community; ensures that  school community members are trained and empowered to improve and sustain a culture of emotional safety; cultivates intellectual safety of  students and staff by advocating  for diversity of ideas, respecting  perspectives that arise, promoting an open exchange of ideas; involves  school community in active intellectual inquiry"
"Leading development, implementation and evaluation of a data-driven plan for increasing student achievement, including the use of multiple student data elements."	C3	1	3.1 Recognizes and seeks out multiple data sources	Does not recognize multiple sources or quality of data or has a limited understanding of the power and meaning of data	Seeks multiple sources of data to guide decision making; emerging  knowledge of what constitutes valid and reliable sources of data and data integrity	"Systematically collects valid and reliable data from at least three sources to be used in problem solving and decision making; builds capacity of staff to recognize information as data by providing examples of using data throughout the building and in staff meetings; systematically gathers data on grades, attendance, behavior and other variables to inform efforts"	Is proficient AND explores and uses a wide variety of monitoring and data collection strategies (both formal and informal) to triangulate data; responds to an identified need for timely data by putting new data collection processes in place to collect  reliable and valid data 
"Leading development, implementation and evaluation of a data-driven plan for increasing student achievement, including the use of multiple student data elements."	C3	2	3.2  Analyzes and interprets multiple data sources to inform school-level improvement efforts	Reviews and shares limited school-level data only as required; interpretation of data may be incorrect or incomplete; uses data in ways unintended by assessment purpose  	Uses numerous  data analysis methods and eager to broaden  knowledge of data analysis and interpretation;  uses school-level data to inform improvement across eight Criteria 	"Analysis includes at least three years of data including state, district, school and formal and informal classroom assessments; interprets available data at the subscale level to make informed decisions about strengths and areas of need;  provides teacher teams with previous year’s data and asks them to assess students’ current needs"	"Is proficient AND consistently leads in data interpretation, analysis, and  communication;  links at least three years of student data to teachers and builds capacity of  staff to understand and use their data for improved teaching and learning; practices a high standard for data reliability, validity and fairness and keeps these concepts in the forefront of conversations with  staff"
"Leading development, implementation and evaluation of a data-driven plan for increasing student achievement, including the use of multiple student data elements."	C3	3	3.3 Implements data  driven plan for improved teaching and learning	"Plan is limited, not data driven and/or not aligned with the needs of the school; little stakeholder involvement and commitment "	"Plan is monitored, evaluated and revised resulting in data driven changes; works to build stakeholder involvement and commitment; models data-driven conversations in support of plan"	"Provides leadership such that plan is clearly articulated and includes action steps and progress monitoring strategies, and strategies in the plan are directly aligned with the data analysis process and are research based; leads ongoing review of progress and results to make timely adjustments to the plan; data insights are regularly the subject of faculty meetings and PD sessions"	"Is proficient AND creates a school culture of using data for decisions and continuous improvement in  aspects of school life; orchestrates high-quality, low-stakes action planning meetings after each round of assessments; data driven plan specifically documents examples of decisions made on the basis of data analysis and results are documented  to inform future decisions; provides coaching to other school administrators to improve their data driven plan and analysis"
"Leading development, implementation and evaluation of a data-driven plan for increasing student achievement, including the use of multiple student data elements."	C3	4	"3.4 Assists staff to use data to guide, modify and improve classroom teaching and learning"	"Does not assist staff to use multiple types of data to reflect on effectiveness of lessons, guide lesson and assessment development, differentiate instruction, and to determine whether re-teaching, practice or moving forward is appropriate; focuses more on student characteristics rather than the actions of teachers; no improvement in student academic achievement"	"Occasionally assists staff to use multiple types of data to reflect on effectiveness of lessons, guide lesson and assessment development, differentiate instruction, and to determine whether re-teaching, practice or moving forward is appropriate; strategies result in incomplete relationship between the actions of teachers and the impact on student achievement; minimum improvement in student academic growth"	"Regularly assists staff to use multiple types of data to reflect on effectiveness of lessons, guide lesson and assessment development, differentiate instruction (highly achieving as well as non-proficient) and to determine whether re-teaching, practice or moving forward with instruction is appropriate at both the group and individual level; strategies result in clear relationship between the actions of teachers and the impact on student achievement; demonstrated and measureable  improvements in student academic growth readily apparent"	"Is proficient AND demonstrates leadership by routinely and consistently assisting teachers to use multiple types of data to reflect on effectiveness of lessons, guide lesson and assessment development, differentiate instruction, and to determine whether re-teaching, practice or moving forward with instruction is appropriate at both the group and individual level; explicitly demonstrates consistent and measurable improvements in student academic growth"
