Criteria	CritShortName	Sequence	RowTitle	Description/Evidence	Level 1	Level 2	Level 3	Level 4
Using multiple student data elements to modify instruction and improve student learning.	C6	1	A1    Assessment for Student Learning – Assessment: Self-assessment of learning connected to the success criteria		Students are rarely or never given an opportunity to assess their own learning in relation to the success criteria for the learning target.	Students are occasionally given an opportunity to assess their own learning in relation to the success criteria for the learning target.	Students frequently assess their own learning in relation to the success criteria for the learning target.	Students consistently assess their own learning in relation to the success criteria and can determine where they are in connection to the learning target.
Using multiple student data elements to modify instruction and improve student learning.	C6	2	A2    Assessment for Student Learning – Assessment: Demonstration of learning		Assessments are not aligned with the learning targets.	"Assessment tasks are partially aligned with the learning targets, allowing students to demonstrate some understanding and/or skill related to the targets."	"Assessment tasks are aligned with the learning targets, allowing students to demonstrate their understanding and/or skill related to the learning targets."	Assessment tasks are aligned with the learning targets and allow students to demonstrate complex understanding and/or skill related to the learning targets.
Using multiple student data elements to modify instruction and improve student learning.	C6	3	A3    Assessment for Student Learning – Assessment: Formative assessment opportunities		Teacher rarely or never provides formative assessment opportunities during the lesson.	Teacher only provides formative assessment opportunities to determine students’ understanding of directions and task.	Teacher provides formative assessment opportunities that align with the learning target(s).	Teacher provides a variety of strategies for formative assessment that align with the learning target(s).
Using multiple student data elements to modify instruction and improve student learning.	C6	4	A4    Assessment for Student Learning – Assessment: Collection systems for formative assessment data		Teacher rarely or never uses an observable system and/or routines for recording formative assessment data.	Teacher has an observable system and routines for recording formative assessment data and occasionally uses the system for instructional purposes.	"Teacher has an observable system and routines for recording formative assessment data, uses multiple sources and frequently uses the system for instructional purposes."	"Teacher has an observable system and routines for recording formative assessment data, uses multiple sources and consistently uses the system for instructional purposes."
Using multiple student data elements to modify instruction and improve student learning.	C6	5	A5    Assessment for Student Learning – Assessment: Student use of assessment data		Students rarely or never use assessment data to assess their own learning.	"Students occasionally use assessment data to assess their own learning, determine learning goals and monitor progress over time."	"Students frequently use assessment data to assess their own learning, determine learning goals and monitor progress over time."	"Students consistently use assessment data to assess their own learning, determine learning goals and monitor progress over time."
Recognizing individual student learning needs and developing strategies to address those needs.	C3	5	A6    Assessment for Student Learning – Adjustments: Teacher use of formative assessment data		"Teacher rarely or never uses formative assessment data to make instructional adjustments, give feedback to students or modify lessons."	Teacher uses formative assessment data to modify future lessons.	"Teacher uses formative assessment data to make in-the-moment instructional adjustments, modify future lessons and give general feedback aligned with the learning target."	"Teacher uses formative assessment data to make in-the-moment instructional adjustments, modify future lessons and give targeted feedback aligned with the learning target to individual students."
"Fostering and managing a safe, positive learning environment"	C5	1	CEC1    Classroom Environment & Culture – Use of Physical Environment: Arrangement of classroom		Physical environment of the room is unsafe and the arrangement gets in the way or distracts from student learning and the purpose of the lesson.	The physical environment is safe but the arrangement neither supports nor distracts from student learning or the purpose of the lesson.	"The physical environment is safe, and the arrangement supports student learning and the purpose of the lesson."	"The physical environment is safe, and the arrangement supports student learning and the purpose of the lesson. Teacher and students use the physical arrangement for learning."
"Fostering and managing a safe, positive learning environment"	C5	2	CEC2    Classroom Environment & Culture – Use of Physical Environment: Accessibility and use of materials		"The resources, materials and technology in the classroom do not relate to the content or current units studied, or are not accessible to all students to support their learning during the lesson."	"The resources, materials and technology in the classroom relate to the content or current unit studied and are accessible to all students but are not referenced by teacher."	"The resources, materials and technology in the classroom relate to the content or current unit studied, are accessible to all students and are intentionally used by teacher to support learning."	"The resources, materials and technology in the classroom relate to the content or current unit studied, are accessible to all students and are intentionally used by both teacher and student to support learning. Students are familiar and comfortable with using the available resources."
Centering instruction on high expectations for student achievement 	C1	5	"CEC3    Classroom Environment & Culture – Classroom Routines & Rituals: Discussion, collaboration and accountability"		"Routines for discussion and collaborative work are absent, poorly executed or do not hold students accountable for their work and learning."	"Routines for discussion and collaborative work are present, but may not result in effective discourse. Students are held accountable for completing their work but not for learning."	"Routines for discussion and collaborative work have been taught, are evident, and result in effective discourse related to the lesson purpose. With prompts, students use these routines during the lesson. Students are held accountable for their work and learning."	"Routines for discussion and collaborative work have been explicitly taught, are evident, and result in effective discourse related to the lesson purpose. Students independently use the routines during the lesson. Students are held accountable for their work, take ownership for their learning and support the learning of others."
"Fostering and managing a safe, positive learning environment"	C5	3	CEC4    Classroom Environment & Culture – Classroom Routines & Rituals: Use of learning time 		"Teacher or students frequently disrupt or interrupt learning activities, which results in loss of learning time. Transitions are disorganized and result in loss of instructional time."	"Teacher or students occasionally disrupt or interrupt learning activities, which results in some loss of learning time. Some transitions are disorganized and result in loss of instructional time."	Learning time is mostly maximized in service of learning. Transitions are teacher-dependent and maximize instructional time.	"All available time is maximized in service of learning. Transitions are student-managed, efficient, and maximize instructional time."
