Criteria	CritShortName	Sequence	RowTitle	Description/Evidence	Level 1	Level 2	Level 3	Level 4
Centering instruction on high expectations for student achievement.	C1	1	2b: Establishing a Culture for Learning	?	"<p>The classroom culture is characterized by a lack of teacher or student commitment to learning and/or little or no investment of student energy into the task at hand. Hard work is not expected or valued.  </p> Medium or low expectations for student achievement are the norm, with high expectations for learning reserved for only one or two students."	"<p>The classroom culture is characterized by little commitment to learning by teacher or students. </p> <p> The teacher appears to be only going through the motions, and students indicate that they are interested in completion of a task, rather than quality.  </p> The teacher conveys that student success is the result of natural ability rather than hard work; high expectations for learning are reserved for those students thought to have a natural aptitude for the subject."	"<p>The classroom culture is a cognitively busy place where learning is valued by all, with high expectations for learning being the norm for most students. </p> <p> The teacher conveys that with hard work students can be successful. </p> <p> Students understand their role as learners and consistently expend effort to learn. </p> Classroom interactions support learning and hard work."	"<p>The classroom culture is a cognitively vibrant place, characterized by a shared belief in the importance of learning. </p> <p> The teacher conveys high expectations for learning by all students and insists on hard work. </p> Students assume responsibility for high quality by initiating improvements, making revisions, adding detail, and/or helping peers."
Centering instruction on high expectations for student achievement.	C1	2	3a: Communicating with Students	Communicating with students	"<p>The instructional purpose of the lesson is unclear to students, and the directions and procedures are confusing.</p><p> The teacher’s explanation of the content contains major errors. </p><p> The teacher’s spoken or written language contains errors of grammar or syntax.</p> The teacher’s vocabulary is inappropriate, vague, or used incorrectly, leaving students confused."	"<p>The teacher’s attempt to explain the instructional purpose has only limited success, and/or directions and procedures must be clarified after initial student confusion.</p><p> The teacher’s explanation of the content may contain minor errors; some portions are clear; other portions are difficult to follow. </p><p>The teacher’s explanation consists of a monologue, with no invitation to the students for intellectual engagement. </p>Teacher’s spoken language is correct; how- ever, his or her vocabulary is limited, or not fully appropriate to the students’ ages or backgrounds."	"<p>The teacher clearly communicates instructional purpose of the lesson, including where it is situated within broader learning, and explains procedures and directions clearly. </p> <p>Teacher’s explanation of content is well scaffolded, clear and accurate, and connects with students’ knowledge and experience. </p><p>During the explanation of content, the teacher invites student intellectual engagement. </p>Teacher’s spoken and written language is clear and correct and uses vocabulary appropriate to the students’ ages and interests."	"<p>The teacher links the instructional purpose of the lesson to student interests; the directions and procedures are clear and anticipate possible student misunderstanding.</p> <p>The teacher’s explanation of content is thorough and clear, developing conceptual understanding through artful scaffolding and connecting with students’ interests.</p><p> Students contribute to extending the content and help explain concepts to their classmates.</p> The teacher’s spoken and written language is expressive, and the teacher finds opportunities to extend students’ vocabularies."
Centering instruction on high expectations for student achievement.	C1	3	3c: Engaging Students in Learning	Engaging students in learning	"<p>The learning tasks and activities, materials, resources, instructional groups and technology are poorly aligned with the instructional outcomes or require only rote responses. </p><p>The pace of the lesson is too slow or too rushed. </p>Few students are intellectually engaged or interested. "	"<p>The learning tasks and activities are partially aligned with the instructional out- comes but require only minimal thinking by students, allowing most to be passive or merely compliant.</p> The pacing of the lesson may not provide students the time needed to be intellectually engaged. "	"<p>The learning tasks and activities are aligned with the instructional outcomes and designed to challenge student thinking, the result being that most students display active intellectual engagement with important and challenging content and are supported in that engagement by teacher scaffolding. </p>The pacing of the lesson is appropriate, providing most students the time needed to be intellectually engaged. "	"<p>Virtually all students are intellectually engaged in challenging content through well-designed learning tasks and suitable scaffolding by the teacher and fully aligned with the instructional outcomes.</p> <p>In addition, there is evidence of some student initiation of inquiry and of student contribution to the exploration of important content. </p><p>The pacing of the lesson provides students the time needed to intellectually engage with and reflect upon their learning and to consolidate their understanding.</p> Students may have some choice in how they complete tasks and may serve as resources for one another."
Demonstrating effective teaching practices.	C2	1	3b: Using Questions and Discussion Techniques	Using questioning/prompts and discussion 	"<p>Teacher’s questions are of low cognitive challenge, require single correct responses, and are asked in rapid succession. </p><p>Interaction between teacher and students is predominantly recitation style, with the teacher mediating all questions and answers.</p> A few students dominate the discussion."	"<p>Teacher’s questions lead students through a single path of inquiry, with answers seemingly determined in advance. </p><p> Alternatively, the teacher attempts to frame some questions designed to promote student thinking and understanding, but only a few students are involved.</p> Teacher attempts to engage all students in the discussion and to encourage them to respond to one another, but with uneven results."	"<p>Although the teacher may use some low-level questions, he or she asks the students questions designed to promote thinking and understanding.</p><p> Teacher creates a genuine discussion among students, providing adequate time for students to respond and stepping aside when appropriate.</p> Teacher successfully engages most students in the discussion, employing a range of strategies to ensure that most students are heard."	"<p>Teacher uses a variety or series of questions or prompts to challenge students cognitively, advance high-level thinking and discourse, and promote metacognition.</p><p> Students formulate many questions, initiate topics, and make unsolicited contributions. </p>Students themselves ensure that all voices are heard in the discussion. "
Demonstrating effective teaching practices.	C2	2	4a: Reflecting on Teaching	Reflecting on Teaching 	"<p>Teacher does not know whether a lesson was effective or achieved its instructional outcomes, or he/she profoundly misjudges the success of a lesson. </p>Teacher has no suggestions for how a lesson could be improved."	<p>Teacher has a generally accurate impression of a lesson’s effectiveness and the extent to which instructional outcomes were met. </p>Teacher makes general suggestions about how a lesson could be improved.	<p>Teacher makes an accurate assessment of a lesson’s effectiveness and the extent to which it achieved its instructional outcomes and can cite general references to support the judgment.</p> Teacher makes a few specific suggestions of what could be tried another time the lesson is taught.	"<p>Teacher makes a thoughtful and accurate assessment of a lesson’s effectiveness and the extent to which it achieved its instructional out- comes, citing many specific examples from the lesson and weighing the relative strengths of each. </p>Drawing on an extensive repertoire of skills, teacher offers specific alternative actions, complete with the probable success of different courses of action."
Recognizing individual student learning needs and developing strategies to address those needs.	C3	1	1b: Demonstrating Knowledge of Students	Demonstrating Knowledge of Students	"Teacher demonstrates little or no understanding of how students learn and little knowledge of students’ backgrounds, cultures, skills, language proficiency, interests, and special needs and does not seek such understanding."	"Teacher indicates the importance of under- standing how students learn and the students’ backgrounds, cultures, skills, language proficiency, interests, and special needs, and attains this knowledge about the class as a whole."	"<p>Teacher understands the active nature of student learning and attains information about levels of development for groups of students. </p>The teacher also purposefully seeks knowledge from several sources of students’ backgrounds, cultures, skills, language proficiency, interests, and special needs and attains this knowledge about groups of students."	"Teacher actively seeks knowledge of students’ levels of development and their backgrounds, cultures, skills, language proficiency, interests, and special needs from a variety of sources. This information is acquired for individual students."
Recognizing individual student learning needs and developing strategies to address those needs.	C3	2	3e: Demonstrating Flexibility and Responsiveness	Demonstrating flexibility and responsiveness	"<p>Teacher adheres to the instruction plan in spite of evidence of poor student understanding or lack of interest.</p> Teacher ignores student questions; when students experience difficulty, the teacher blames the students or their home environment."	"<p>Teacher attempts to modify the lesson when needed and to respond to student questions and interests, with moderate success.</p> Teacher accepts responsibility for student success but has only a limited repertoire of strategies to draw upon."	"<p>Teacher promotes the successful learning of all students, making minor adjustments as needed to instruction plans and accommodating student questions, needs, and interests. </p>Drawing on a broad repertoire of strategies, the teacher persists in seeking approaches for students who have difficulty learning."	"<p>Teacher seizes an opportunity to enhance learning, building on a spontaneous event or student interests, or successfully adjusts and differentiates instruction to address individual student misunderstandings. </p>Teacher persists in seeking effective approaches for students who need help, using an extensive repertoire of instructional strategies and soliciting additional resources from the school or community."
Recognizing individual student learning needs and developing strategies to address those needs.	C3	3	SG 3.1 Establish Student Growth Goal(s)		"Does not establish student growth goals or establishes inappropriate goals for subgroups of students not reaching full learning potential.  Goals do not identify multiple, high quality sources of data to monitor, adjust, and evaluate achievement of goals."	"Establishes appropriate student growth goals for subgroups of students not reaching full learning potential.  Goals rely on limited source or low-quality data to monitor, adjust, and evaluate achievement of goals."	"Establishes appropriate student growth goals for subgroups of students not reaching full learning potential.  Goals identify multiple, high-quality sources of data to monitor, adjust, and evaluate achievement of goals."	"Establishes appropriate student growth goals for subgroups of students not reaching full potential in collaboration with students, parents, and other school staff. Goals identify multiple, high-quality sources of data to monitor, adjust, and evaluate achievement of goals."
Recognizing individual student learning needs and developing strategies to address those needs.	C3	4	SG 3.2 Achievement of Student Growth Goal(s)		Growth or achievement data from at least two points in time shows no evidence of growth for most students.	Multiple sources of growth or achievement data from at least two points in time show some evidence of growth for some students.	Multiple sources of growth or achievement data from at least two points in time show clear evidence of growth for most students.	Multiple sources of growth or achievement data from at least two points in time show evidence of high growth for all or nearly all students.
Providing clear and intentional focus on subject matter content and curriculum.	C4	1	1a: Demonstrating Knowledge of Content and Pedagogy	Demonstrating Knowledge of Content and Pedagogy	"<p>In planning and practice, teacher makes content errors or does not correct errors made by students.</p> <p>Teacher’s plans and practice display little understanding of prerequisite relationships important to student’s learning of the content.</p> Teacher displays little or no understanding of the range of pedagogical approaches suitable to student’s learning of the content."	"<p>Teacher is familiar with the important concepts in the discipline but displays lack of awareness of how these concepts relate to one another.</p><p> Teacher’s plans and practice indicate some awareness of prerequisite relationships, although such knowledge may be inaccurate or incomplete. </p>Teacher’s plans and practice reflect a limited range of pedagogical approaches to the discipline or to the students."	<p>Teacher displays solid knowledge of the important concepts in the discipline and the ways they relate to one another. </p><p>Teacher’s plans and practice reflect accurate understanding of prerequisite relationships among topics and concepts.</p> Teacher’s plans and practice reflect familiarity with a wide range of effective pedagogical approaches in the discipline.	"<p>Teacher displays extensive knowledge of the important concepts in the discipline and the ways they relate both to one another and to other disciplines. </p><p>Teacher’s plans and practice reflect understanding of prerequisite relationships among topics and concepts and provide a link to necessary cognitive structures needed by students to ensure understanding.</p> Teacher’s plans and practice reflect familiarity with a wide range of effective pedagogical approaches in the discipline, anticipating student misconceptions."
