Criteria	CritShortName	Sequence	MarDomain	MarShort	mdseq	MarSeq	RowTitle	Description/Evidence	Level 1	Level 2	Level 3	Level 4
Centering instruction on high expectations for student achievement.	C1	1	Domain 1: Routine 	D1-R	1	1	"1.1: Providing Clear Learning Goals and Scales (Rubrics) <br> The teacher communicates high expectations for learning by developing, aligning, and communicating clear daily learning targets and/or longer-term learning goals (grade-level standards) with rubrics for the goals."	Engagement Strategies: High cognitive demand 	When the strategy is called for the teacher does not use it or the teacher uses the strategy incorrectly or with parts missing. 	The teacher provides a  stated learning target (daily) and/or learning goal (longer term) but the learning goal is not accompanied by a scale or rubric that describes levels of performance.	"The teacher provides a clearly stated learning target (daily) and/or learning goal (longer term). The learning goal is accompanied by a scale or rubric that describes levels of performance. Additionally, the teacher monitors students’ understanding of the learning target/goal and the levels of performance."	The teacher adapts or creates new strategies to meet the specific needs of students for whom the typical application of strategies does not produce the desired effect.
Centering instruction on high expectations for student achievement.	C1	2	Domain 1: Routine 	D1-R	1	2	1.2: Celebrating Success <br> The teacher celebrates student success relative to the learning targets and/or the learning goals.		"When the strategy is called for the teacher does not use it, or the teacher uses strategy incorrectly or with parts missing."	The teacher provides students with recognition of their current status but not their knowledge gain relative to the learning goal.  	The teacher provides students with recognition of their current status and their knowledge gain relative to the learning goal and monitors the extent to which students are motivated to enhance their status. 	The teacher adapts or creates new strategies to meet the specific needs of students for whom the typical application of strategies does not produce the desired effect.
Centering instruction on high expectations for student achievement.	C1	3	Domain 1: Enacted on the Spot	D1-E	3	1	1.3: Understanding Students’ Interests and Backgrounds <br> The teacher builds positive relationships with students by understanding students’ interests and background.		"When the strategy is called for the teacher does not use it, or the teacher uses strategy incorrectly or with parts missing."	The teacher minimally uses students’ interests and background during interactions with students.	The teacher uses students’ interests and background during interactions with students and monitors the sense of community in the classroom.	The teacher adapts or creates new strategies to meet the specific needs of students for whom the typical application of strategies does not produce the desired effect.
Centering instruction on high expectations for student achievement.	C1	4	Domain 1: Enacted on the Spot	D1-E	3	2	"1.4: Demonstrating Value and Respect for Typically Underserved Students <br> The teacher demonstrates value and respect for all, including typically underserved students."		"When the strategy is called for the teacher does not use it, or the teacher uses strategy incorrectly or with parts missing."	"The teacher minimally uses verbal and nonverbal behaviors that indicate value and respect for students, with particular attention to those typically underserved."	"The teacher uses verbal and nonverbal behaviors that indicate value and respect for students, with particular attention to those typically underserved, and monitors the quality of relationships in the classroom."	The teacher adapts or creates new strategies to meet the specific needs of students for whom the typical application of strategies does not produce the desired effect.
Demonstrating effective teaching practices.	C2	1	Domain 1: Content	D1-C	2	1	2.1: Interacting with New Knowledge <br> The teacher helps students effectively interact with new knowledge. (Development scales with which to set teacher growth goals are available for specific elements of this component—see Appendix)		The teacher does not employ strategies designed to preview and introduce new knowledge in digestible chunks OR does so with significant errors or omissions.	The teacher employs strategies designed to preview and introduce new knowledge in digestible chunks BUT does not monitor the extent to which strategies have their desired effect.	"The teacher employs strategies designed to preview and introduce new knowledge in digestible chunks AND monitors the extent to which strategies have their desired effect, which includes: elaborating on critical information and summarizing it in linguistic and nonlinguistic ways."	The teacher adapts or creates new strategies to meet the specific needs of students for whom the typical application of strategies does not produce the desired effect.
Demonstrating effective teaching practices.	C2	2	Domain 1: Content	D1-C	2	2	2.2: Organizing Students to Practice and Deepen Knowledge <br> The teacher helps students to practice and deepen their understanding of new knowledge. (Development scales with which to set teacher growth goals are available for specific elements of this component—see Appendix)		The teacher does not employ strategies designed to practice skills and processes and critically analyze information OR does so with significant errors or omissions.	The teacher employs strategies designed to practice skills and processes and critically analyze information BUT does not monitor the extent to which strategies have their desired effect.	"The teacher employs strategies designed to practice skills and processes and critically analyze information AND monitors the extent to which strategies have their desired effect, which includes: developing fluency with skills and processes, determining similarities and differences between important information, and determining the validity and structure of important information."	The teacher adapts or creates new strategies to meet the specific needs of students for whom the typical application of strategies does not produce the desired effect.
Demonstrating effective teaching practices.	C2	3	Domain 1: Content	D1-C	2	3	2.3: Organizing Students for Cognitively Complex Tasks <br> The teacher provides resources and guidance and organizes students to engage in cognitively complex tasks involving application and transfer of new knowledge.		When the strategy is called for the teacher does not use it or the teacher uses the strategy incorrectly or with parts missing.	The teacher organizes students and acts as a guide and resource provider but students primarily engage in low level tasks.	The teacher organizes students and acts as a guide and resource provider as students engage in cognitively complex tasks and monitors the level to which students apply and transfer the new knowledge.	The teacher adapts or creates new strategies to meet the specific needs of students for whom the typical application of strategies does not produce the desired effect.
Demonstrating effective teaching practices.	C2	4	Domain 1: Enacted on the Spot	D1-E	3	3	2.4: Asking Questions of Typically Underserved Students <br> The teacher asks questions of typically underserved students with the same frequency and depth as other students.		When the strategy is called for the teacher does not use it or the teacher uses the strategy incorrectly or with parts missing.	The teacher asks questions of all students with the same frequency and depth but does not monitor the quality of participation.	The teacher asks questions of all students with the same frequency and depth and monitors the quality of participation.	The teacher adapts or creates new strategies to meet the specific needs of students for whom the typical application of strategies does not produce the desired effect.
Demonstrating effective teaching practices.	C2	5	Domain 1: Enacted on the Spot	D1-E	3	4	2.5: Probing Incorrect Answers with Typically Underserved Students <br> The teacher probes typically underserved students’ incorrect answers in the same manner as other students’ incorrect answers.		When the strategy is called for the teacher does not use it or the teacher uses the strategy incorrectly or with parts missing.	The teacher is not consistent in probing all students’ incorrect answers.	The teacher probes all students’ incorrect answers and monitors the level and quality of the responses.	The teacher adapts or creates new strategies to meet the specific needs of students for whom the typical application of strategies does not produce the desired effect.
Demonstrating effective teaching practices.	C2	6	Domain 1: Enacted on the Spot	D1-E	3	5	2.6: Noticing When Students Are Not Engaged <br> The teacher uses various methods to engage students. (Development scales with which to set teacher growth goals are available for specific elements of this component—see Appendix)		The teacher does not monitor student engagement and apply re-engagement strategies as necessary OR does so with significant errors or omissions.	The teacher monitors student engagement and applies re-engagement strategies as necessary BUT does not monitor the extent to which strategies have their desired effect.	"The teacher monitors student engagement and applies re-engagement strategies as necessary AND monitors the extent to which strategies have their desired effect, which includes: enhanced energy and engagement and enhanced student participation in questioning activities and activities designed to analyze and review information."	The teacher adapts or creates new strategies to meet the specific needs of students for whom the typical application of strategies does not produce the desired effect.
